"Simulation_num.","Scenario_ID.string","Simulation_ID.string","Model_mode.string","Scenario_start.real","Scenario_end.real","Step_length.real","Parallel_TPC.string","Pop_scenario.string","Econ_scenario.string","Climate_scenario.string","Spatial_interventions.string","EI_interventions.string","Deterministic_trans.string","Completed.string","EI_ID.string"
181,"BAU",181,"Simulation",2020,2060,5,"N","Low","Ref_Central","rcp26","N","N","Y","Y",181
182,"BAU",182,"Simulation",2020,2060,5,"N","Low","Ref_Central","rcp45","N","N","Y","Y",182
183,"BAU",183,"Simulation",2020,2060,5,"N","Low","Ref_Central","rcp85","N","N","Y","Y",183
184,"BAU",184,"Simulation",2050,2060,5,"N","Ref","Ref_Central","rcp26","N","N","Y","N",184
185,"BAU",185,"Simulation",2020,2060,5,"N","Ref","Ref_Central","rcp45","N","N","Y","Y",185
186,"BAU",186,"Simulation",2050,2060,5,"N","Ref","Ref_Central","rcp85","N","N","Y","N",186
187,"BAU",187,"Simulation",2020,2060,5,"N","High","Ref_Central","rcp26","N","N","Y","Y",187
188,"BAU",188,"Simulation",2050,2060,5,"N","High","Ref_Central","rcp45","N","N","Y","N",188
189,"BAU",189,"Simulation",2020,2060,5,"N","High","Ref_Central","rcp85","N","N","Y","Y",189
190,"BAU",190,"Simulation",2050,2060,5,"N","Low","Ecolo_Urban","rcp26","N","N","Y","N",190
191,"BAU",191,"Simulation",2020,2060,5,"N","Low","Ecolo_Urban","rcp45","N","N","Y","N",191
192,"BAU",192,"Simulation",2020,2060,5,"N","Low","Ecolo_Urban","rcp85","N","N","Y","N",192
193,"BAU",193,"Simulation",2020,2060,5,"N","Ref","Ecolo_Urban","rcp26","N","N","Y","N",193
194,"BAU",194,"Simulation",2020,2060,5,"N","Ref","Ecolo_Urban","rcp45","N","N","Y","N",194
195,"BAU",195,"Simulation",2020,2060,5,"N","Ref","Ecolo_Urban","rcp85","N","N","Y","N",195
196,"BAU",196,"Simulation",2020,2060,5,"N","High","Ecolo_Urban","rcp26","N","N","Y","N",196
197,"BAU",197,"Simulation",2020,2060,5,"N","High","Ecolo_Urban","rcp45","N","N","Y","N",197
198,"BAU",198,"Simulation",2020,2060,5,"N","High","Ecolo_Urban","rcp85","N","N","Y","N",198
199,"BAU",199,"Simulation",2020,2060,5,"N","Low","Ecolo_Central","rcp26","N","N","Y","N",199
200,"BAU",200,"Simulation",2020,2060,5,"N","Low","Ecolo_Central","rcp45","N","N","Y","N",200
201,"BAU",201,"Simulation",2020,2060,5,"N","Low","Ecolo_Central","rcp85","N","N","Y","N",201
202,"BAU",202,"Simulation",2020,2060,5,"N","Ref","Ecolo_Central","rcp26","N","N","Y","N",202
203,"BAU",203,"Simulation",2020,2060,5,"N","Ref","Ecolo_Central","rcp45","N","N","Y","N",203
204,"BAU",204,"Simulation",2020,2060,5,"N","Ref","Ecolo_Central","rcp85","N","N","Y","N",204
205,"BAU",205,"Simulation",2020,2060,5,"N","High","Ecolo_Central","rcp26","N","N","Y","N",205
206,"BAU",206,"Simulation",2020,2060,5,"N","High","Ecolo_Central","rcp45","N","N","Y","N",206
207,"BAU",207,"Simulation",2020,2060,5,"N","High","Ecolo_Central","rcp85","N","N","Y","N",207
208,"BAU",208,"Simulation",2020,2060,5,"N","Low","Combined_Urban","rcp26","N","N","Y","N",208
209,"BAU",209,"Simulation",2020,2060,5,"N","Low","Combined_Urban","rcp45","N","N","Y","N",209
210,"BAU",210,"Simulation",2020,2060,5,"N","Low","Combined_Urban","rcp85","N","N","Y","N",210
211,"BAU",211,"Simulation",2020,2060,5,"N","Ref","Combined_Urban","rcp26","N","N","Y","N",211
212,"BAU",212,"Simulation",2020,2060,5,"N","Ref","Combined_Urban","rcp45","N","N","Y","N",212
213,"BAU",213,"Simulation",2020,2060,5,"N","Ref","Combined_Urban","rcp85","N","N","Y","N",213
214,"BAU",214,"Simulation",2020,2060,5,"N","High","Combined_Urban","rcp26","N","N","Y","N",214
215,"BAU",215,"Simulation",2020,2060,5,"N","High","Combined_Urban","rcp45","N","N","Y","N",215
216,"BAU",216,"Simulation",2020,2060,5,"N","High","Combined_Urban","rcp85","N","N","Y","N",216
217,"BAU",217,"Simulation",2020,2060,5,"N","Low","Ref_Peri_urban","rcp26","N","N","Y","N",217
218,"BAU",218,"Simulation",2020,2060,5,"N","Low","Ref_Peri_urban","rcp45","N","N","Y","N",218
219,"BAU",219,"Simulation",2020,2060,5,"N","Low","Ref_Peri_urban","rcp85","N","N","Y","N",219
220,"BAU",220,"Simulation",2020,2060,5,"N","Ref","Ref_Peri_urban","rcp26","N","N","Y","N",220
221,"BAU",221,"Simulation",2020,2060,5,"N","Ref","Ref_Peri_urban","rcp45","N","N","Y","N",221
222,"BAU",222,"Simulation",2020,2060,5,"N","Ref","Ref_Peri_urban","rcp85","N","N","Y","N",222
223,"BAU",223,"Simulation",2020,2060,5,"N","High","Ref_Peri_urban","rcp26","N","N","Y","N",223
224,"BAU",224,"Simulation",2020,2060,5,"N","High","Ref_Peri_urban","rcp45","N","N","Y","N",224
225,"BAU",225,"Simulation",2020,2060,5,"N","High","Ref_Peri_urban","rcp85","N","N","Y","N",225
