lucode,LULC_veg,root_depth,Kc,Load_n,eff_n,crit_len_n,usle_C,usle_p,LULC_name
10,0,1,0.33276775,0,0,25,0,0.5,Urban
11,0,1,0.4567675,0,0,25,0,0.5,Static
12,1,3000,1.225,6,0.8,150,0.0012,1,Open_Forest
13,1,3000,1.225,6,0.8,150,0.0012,1,Closed_Forest
14,1,700,1.225,6,0.6,150,0.0012,0.9942,Shrubland
15,1,1500,1.225,12,0.6,150,0.1384,0.9942,Int_AG
16,1,700,1.26,12,0.6,150,0.0903,0.9942,Alp_Past
17,1,700,1.26,12,0.6,150,0.0903,0.9942,Grassland
18,1,1200,1.3125,12,0.4,150,0.1232,0.9942,Perm_crops
19,0,0,1.75,0,0.6,25,0,1,Glacier
